"TIMESTAMP","BattV_Min","PTemp_C_Max","Temp","Temp_Avg","Temp_Max","Temp_TMx","Temp_Min","Temp_TMn","Umid","Umid_Avg","Umid_Max","Umid_TMx","Umid_Min","Umid_TMn","Pressao","Pressao_Avg","Pressao_Max","Pressao_TMx","Pressao_Min","Pressao_TMn","Tempbar","Tempbar_Avg","Tempbar_Max","Tempbar_TMx","Tempbar_Min","Tempbar_TMn","RadFlux","RadFlux_Avg","RadFlux_Max","RadFlux_TMx","RadTot_Tot","VelVento_Max","VelVento_TMx","VelVento_S_WVT","DirVento_D1_WVT","DirVento_SD1_WVT","Chuva_Tot"
"TS","Volts","Deg C","C","C","C","","C","","%","%","%","","%","","mbar","mbar","mbar","","mbar","","C","C","C","","C","","W/m^2","W/m^2","W/m^2","","MJ/m^2","meters/second","","meters/second","Deg","Deg","mm"
"2023-02-13 16:00:00",12.47,40.91,31.54,31.61,32.16,"2023-02-13 15:27:21",31.22,"2023-02-13 15:44:31",58.76,57.65,59.45,"2023-02-13 15:45:41",55.53,"2023-02-13 15:29:11",1008,1007.9,1015.097,"2023-02-13 15:23:01",1007.674,"2023-02-13 15:58:42",40.26,39.78725,40.272,"2023-02-13 15:59:42",35.853,"2023-02-13 15:23:01",716.8,786.3,851,"2023-02-13 15:23:02",1.745493,7.84,"2023-02-13 15:35:19",3.306,340.1,32.25,0
"2023-02-13 17:00:00",12.52,40.96,30.76,31.04,31.55,"2023-02-13 16:00:01",30.62,"2023-02-13 16:31:21",62.05,60.53,63.11,"2023-02-13 16:56:51",58.48,"2023-02-13 16:12:01",1007,1007.562,1007.85,"2023-02-13 16:00:12",1007.175,"2023-02-13 16:55:32",39.97,40.22446,40.378,"2023-02-13 16:08:12",39.963,"2023-02-13 16:59:02",466.9,595.8,718.5,"2023-02-13 16:00:03",2.145046,7.644,"2023-02-13 16:11:47",3.245,336.6,30.27,0
"2023-02-13 18:00:00",12.53,40.4,29.46,30.25,30.99,"2023-02-13 17:00:41",29.38,"2023-02-13 17:54:21",68.52,64.91,69.39,"2023-02-13 17:56:21",61.8,"2023-02-13 17:25:21",1007,1007.44,1007.597,"2023-02-13 17:37:32",1007.285,"2023-02-13 17:01:02",37.62,39.27529,39.972,"2023-02-13 17:00:01",37.622,"2023-02-13 17:59:52",42.35,264.1,467.9,"2023-02-13 17:00:03",0.9506778,7.546,"2023-02-13 17:11:49",2.55,348,35.81,0
"2023-02-13 19:00:00",12.5,37.69,28.59,29.01,29.47,"2023-02-13 18:00:31",28.57,"2023-02-13 18:59:11",74.27,71.23,74.27,"2023-02-13 18:59:51",68.18,"2023-02-13 18:01:01",1008,1007.654,1007.963,"2023-02-13 18:57:32",1007.46,"2023-02-13 18:00:01",33.45,35.22206,37.622,"2023-02-13 18:00:01",33.445,"2023-02-13 18:59:52",5.233,24.47,42.35,"2023-02-13 18:00:01",0.08807968,5.782,"2023-02-13 18:10:29",2.269,348.5,35.12,0
"2023-02-13 20:00:00",12.48,33.36,27.9,28.15,28.59,"2023-02-13 19:00:01",27.86,"2023-02-13 19:55:11",79.86,77.71,79.89,"2023-02-13 19:59:21",74.3,"2023-02-13 19:00:01",1009,1008.349,1008.572,"2023-02-13 19:41:22",1007.875,"2023-02-13 19:00:52",31.55,32.37701,33.445,"2023-02-13 19:00:01",31.546,"2023-02-13 19:59:32",0,0.783,5.233,"2023-02-13 19:00:01",0.002819327,5.096,"2023-02-13 19:13:58",2.025,12.54,30.01,0
"2023-02-13 21:00:00",12.46,31.23,27.88,27.92,28.01,"2023-02-13 20:30:11",27.86,"2023-02-13 20:43:31",80.8,80.6,81.4,"2023-02-13 20:40:01",79.28,"2023-02-13 20:06:41",1009,1009.133,1009.534,"2023-02-13 20:54:12",1008.509,"2023-02-13 20:00:22",30.91,31.14765,31.546,"2023-02-13 20:00:01",30.89,"2023-02-13 20:59:32",0,0,0,"2023-02-13 20:00:01",0,7.448,"2023-02-13 20:41:23",1.507,4.667,37.61,0
"2023-02-13 22:00:00",12.42,30.43,28,27.92,28.02,"2023-02-13 21:55:51",27.82,"2023-02-13 21:05:31",80.3,80.2,81,"2023-02-13 21:02:51",79.43,"2023-02-13 21:37:21",1010,1009.667,1009.83,"2023-02-13 21:59:52",1009.429,"2023-02-13 21:00:22",30.69,30.76777,30.908,"2023-02-13 21:00:01",30.686,"2023-02-13 21:58:12",0,0,0,"2023-02-13 21:00:01",0,5.488,"2023-02-13 21:34:53",1.522,6.113,39.36,0
"2023-02-13 23:00:00",12.4,30.29,28.04,27.94,28.04,"2023-02-13 22:57:01",27.82,"2023-02-13 22:38:21",81.1,81.1,81.8,"2023-02-13 22:47:51",80.1,"2023-02-13 22:00:51",1010,1009.896,1010.006,"2023-02-13 22:42:52",1009.778,"2023-02-13 22:10:52",30.69,30.69224,30.714,"2023-02-13 22:06:12",30.658,"2023-02-13 22:49:42",0,0,0,"2023-02-13 22:00:01",0,4.116,"2023-02-13 22:19:18",0.999,355.1,44.06,0
"2023-02-14 00:00:00",12.38,30.36,27.82,27.87,28.05,"2023-02-13 23:01:11",27.79,"2023-02-13 23:58:01",80.6,80.4,81.2,"2023-02-13 23:01:31",79.69,"2023-02-13 23:30:51",1009,1009.639,1009.827,"2023-02-13 23:08:32",1009.391,"2023-02-13 23:53:12",30.8,30.75886,30.816,"2023-02-13 23:58:42",30.686,"2023-02-13 23:00:01",0,0,0,"2023-02-13 23:00:01",0,4.41,"2023-02-13 23:22:11",0.592,299.9,41.48,0
